B=|C=القسم|D=المجموعة|E=الفرع|F=الفئة|G=النشاط|DESC=الوصـــف
B=11904.0|C=|D=|E=|F=|G=|DESC=زراعة بذور الشوندر(باستثناء بذورالشوندر السكري) وبذور نباتات
B=12.0|C=|D=|E=زراعة المحاصيل الدائمة |F=|G=|DESC=
B=121.0|C=|D=|E=|F=زراعة الأعناب|G=|DESC=
B=1210.0|C=|D=|E=|F=|G=زراعة الأعناب|DESC=
B=12101.0|C=|D=|E=|F=|G=|DESC=زراعة أعناب المائدة 
B=12102.0|C=|D=|E=|F=|G=|DESC=زراعة أعناب العصير
B=122.0|C=|D=|E=|F=زراعة الفواكه المدارية وشبه المدارية|G=|DESC=
B=1220.0|C=|D=|E=|F=|G=زراعة الفواكه المدارية وشبه المدارية|DESC=
B=12201.0|C=|D=|E=|F=|G=|DESC=زراعة النخيل وإنتاج التمر
B=12202.0|C=|D=|E=|F=|G=|DESC=زراعة التين 
B=12203.0|C=|D=|E=|F=|G=|DESC=زراعة المانجو 
B=12204.0|C=|D=|E=|F=|G=|DESC=زراعة الموز والأفوكادو
B=12209.0|C=|D=|E=|F=|G=|DESC=زراعة الفواكه المدارية وشبه المدارية الأخرى، مثل: البابايا -
B=123.0|C=|D=|E=|F=زراعة الحمضيات |G=|DESC=
B=1230.0|C=|D=|E=|F=|G=زراعة الحمضيات |DESC=
B=12301.0|C=|D=|E=|F=|G=|DESC=زراعة الليمون بأنواعه
B=12302.0|C=|D=|E=|F=|G=|DESC=زراعة البرتقال بأنواعه 
B=12309.0|C=|D=|E=|F=|G=|DESC=زراعة أصناف أخرى من الحمضيات
B=124.0|C=|D=|E=|F=زراعة الثمار التفاحية والثمار ذات النواة |G=|DESC=
B=1240.0|C=|D=|E=|F=|G=زراعة الثمار التفاحية والثمار ذات النواة |DESC=
B=12401.0|C=|D=|E=|F=|G=|DESC=زراعة التفاح 
B=12402.0|C=|D=|E=|F=|G=|DESC=زراعة المشمش ,الكرز, الخوخ, الكمثرى, الدراق.
B=12409.0|C=|D=|E=|F=|G=|DESC=زراعة أصناف أخرى من الثمار التفاحية والثمار ذات النواة 
B=125.0|C=|D=|E=|F=زراعة أشجار وشجيرات الفواكه الأخرى والجوزيات |G=|DESC=
B=1250.0|C=|D=|E=|F=|G=زراعة أشجار وشجيرات الفواكه الأخرى والجوزيات |DESC=
B=12501.0|C=|D=|E=|F=|G=|DESC=زراعة الثمار اللبية : التوت - كيوي - توت الأرض - الفراولة - 
B=12502.0|C=|D=|E=|F=|G=|DESC=زراعة بذور الفاكهة
B=12503.0|C=|D=|E=|F=|G=|DESC=زراعة الجوزيات الصالحة للأكل، مثل: الصنوبر- الكاجو - الكستنا
B=12509.0|C=|D=|E=|F=|G=|DESC=زراعة أشجار وشجيرات الفواكه الأخرى 
B=126.0|C=|D=|E=|F=زراعة الثمار الزيتية|G=|DESC=
B=1260.0|C=|D=|E=|F=|G=زراعة الثمار الزيتية |DESC=
B=12601.0|C=|D=|E=|F=|G=|DESC=زراعة الزيتون
B=12609.0|C=|D=|E=|F=|G=|DESC=زراعة الثمار الزيتية الأخرى 
B=127.0|C=|D=|E=|F=زراعة  محاصيل المشروبات |G=|DESC=
B=1270.0|C=|D=|E=|F=|G=زراعة  محاصيل المشروبات |DESC=
B=12700.0|C=|D=|E=|F=|G=|DESC=زراعة  محاصيل المشروبات 
B=128.0|C=|D=|E=|F=زراعة التوابل والمحاصيل العطرية ومحاصيل العقاقير والمحاصيل الصيدلانية|G=|DESC=
B=1280.0|C=|D=|E=|F=|G=زراعة التوابل والمحاصيل العطرية ومحاصيل العقاقير والمحاصيل الصيدلانية|DESC=
B=12801.0|C=|D=|E=|F=|G=|DESC=زراعة التوابل والمحاصيل الدائمة وغير الدائمة 
B=12802.0|C=|D=|E=|F=|G=|DESC=زراعة محاصيل العقاقير 
B=12803.0|C=|D=|E=|F=|G=|DESC=زراعة النباتات المستعملة أساسا في العطور وفي الصيدليات أو لأ
B=129.0|C=|D=|E=|F=زراعة المحاصيل الدائمة الأخرى |G=|DESC=
B=1290.0|C=|D=|E=|F=|G=زراعة المحاصيل الدائمة الأخرى |DESC=
B=12900.0|C=|D=|E=|F=|G=|DESC=زراعة المحاصيل الدائمة الأخرى 
B=13.0|C=|D=|E=إكثار النباتات |F=|G=|DESC=
B=130.0|C=|D=|E=|F=إكثار النباتات |G=|DESC=
B=1300.0|C=|D=|E=|F=|G=إكثار النباتات |DESC=
B=13001.0|C=|D=|E=|F=|G=|DESC=زراعة النباتات لإنتاج الغراس
B=13002.0|C=|D=|E=|F=|G=|DESC=زراعة النباتات لأغراض الزينة 
B=13003.0|C=|D=|E=|F=|G=|DESC=زراعة النباتات الحية للحصول على الأبصال والدرنات والجذور وال
B=13004.0|C=|D=|E=|F=|G=|DESC=مراكز إنتاج غراس الأشجار
B=13009.0|C=|D=|E=|F=|G=|DESC=أنشطة أخرى لإكثار النباتات 
B=14.0|C=|D=|E=الإنتاج الحيواني (لحوم وألبان)|F=|G=|DESC=
B=141.0|C=|D=|E=|F=تربية الماشية والجاموس|G=|DESC=
B=1410.0|C=|D=|E=|F=|G=تربية الماشية والجاموس|DESC=
B=14101.0|C=|D=|E=|F=|G=|DESC=تربية واستيلاد الماشية والجاموس والبقر
B=14102.0|C=|D=|E=|F=|G=|DESC=تسمين العجول 
B=14103.0|C=|D=|E=|F=|G=|DESC=إنتاج الحليب من البقر والجاموس
B=14104.0|C=|D=|E=|F=|G=|DESC=إنتاج المني البقري
B=142.0|C=|D=|E=|F=تربية  الخيول والحيوانات الخيلية الأخرى|G=|DESC=
B=1420.0|C=|D=|E=|F=|G=تربية الخيول والحيوانات الخيلية الأخرى|DESC=
B=14200.0|C=|D=|E=|F=|G=|DESC=تربية الخيول والحيوانات الخيلية الأخرى
B=143.0|C=|D=|E=|F=تربية الجمال والحيوانات الجملية |G=|DESC=
B=1430.0|C=|D=|E=|F=|G=تربية الجمال والحيوانات الجملية |DESC=
B=14300.0|C=|D=|E=|F=|G=|DESC=تربية الجمال والحيوانات الجملية 
B=144.0|C=|D=|E=|F=تربية الضأن والماعز|G=|DESC=
B=1440.0|C=|D=|E=|F=|G=تربية الضأن والماعز|DESC=
B=14401.0|C=|D=|E=|F=|G=|DESC=تربية واستيلاد الضأن
B=14402.0|C=|D=|E=|F=|G=|DESC=تربية واستيلاد الماعز
B=14403.0|C=|D=|E=|F=|G=|DESC=إنتاج حليب الضأن والماعز
B=14404.0|C=|D=|E=|F=|G=|DESC=إنتاج الصوف الخام
B=145.0|C=|D=|E=|F=تربية الخنازير|G=|DESC=
B=1450.0|C=|D=|E=|F=|G=تربية الخنازير|DESC=
B=14501.0|C=|D=|E=|F=|G=|DESC=تربية الخنازير
B=146.0|C=|D=|E=|F=تربية الدواجن |G=|DESC=
B=1461.0|C=|D=|E=|F=|G=تربية و إنتاج الدواجن وتشغيل مفارخها |DESC=
B=14611.0|C=|D=|E=|F=|G=|DESC=تربية و إنتاج أمهات الدجاج اللاحم وتشغيل مفارخها
B=14612.0|C=|D=|E=|F=|G=|DESC=تربية و إنتاج أمهات الدجاج البياض وتشغيل مفارخها
B=14613.0|C=|D=|E=|F=|G=|DESC=تربية وإنتاج جدات الدجاج البياض وتشغيل مفارخها 
B=14614.0|C=|D=|E=|F=|G=|DESC=تربية و إنتاج جدات الدجاج اللاحم وتشغيل مفارخها 
B=14615.0|C=|D=|E=|F=|G=|DESC=إنتاج البيض 
B=1462.0|C=|D=|E=|F=|G=تربية الحمام والديك الرومي والبط والإوز |DESC=
B=14620.0|C=|D=|E=|F=|G=|DESC=تربية الحمام والديك الرومي والبط والإوز 
B=1469.0|C=|D=|E=|F=|G=تربية وإنتاج الدواجن الأخرى وتشغيل مفارخها |DESC=
B=14690.0|C=|D=|E=|F=|G=|DESC=تربية وإنتاج الدواجن الأخرى وتشغيل مفارخها 
B=149.0|C=|D=|E=|F=تربية الحيوانات الأخرى |G=|DESC=
B=1490.0|C=|D=|E=|F=|G=تربية الحيوانات الأخرى |DESC=
B=14901.0|C=|D=|E=|F=|G=|DESC=تربية النحل وإنتاج العسل (المناحل) وشمع النحل
B=14902.0|C=|D=|E=|F=|G=|DESC=تربية النعام 
B=14903.0|C=|D=|E=|F=|G=|DESC=تربية الأرانب
B=14904.0|C=|D=|E=|F=|G=|DESC=تربية و استيلاد الحيوانات الأليفة , يشمل (القطط , الكلاب , ا
B=14905.0|C=|D=|E=|F=|G=|DESC=تربية السمان (الفري)
B=14906.0|C=|D=|E=|F=|G=|DESC=تشغيل مزارع الدود والحلزون والرخويات الأرضية
B=14907.0|C=|D=|E=|F=|G=|DESC=تربية دودة القز وإنتاج الشرانق
B=14908.0|C=|D=|E=|F=|G=|DESC=إنتاج جلود الفراء أو جلود الزواحف أو الطيور من عمليات التربي
B=15.0|C=|D=|E=الزراعة المختلطة|F=|G=|DESC=
B=150.0|C=|D=|E=|F=الزراعة المختلطة|G=|DESC=
B=1500.0|C=|D=|E=|F=|G=الزراعة المختلطة|DESC=
B=15000.0|C=|D=|E=|F=|G=|DESC=المزارع المختلطة (نباتات وحيوانات )
B=16.0|C=|D=|E=أنشطة دعم الزراعة وأنشطة المحاصيل بعد الحصاد |F=|G=|DESC=
B=161.0|C=|D=|E=|F=أنشطة الدعم لإنتاج المحاصيل |G=|DESC=
B=1610.0|C=|D=|E=|F=|G=أنشطة الدعم لإنتاج المحاصيل |DESC=
B=16101.0|C=|D=|E=|F=|G=|DESC=تقديم الخدمات الزراعية 
B=16102.0|C=|D=|E=|F=|G=|DESC=توفير المعدات الزراعية التي يشغلها عامل 
B=16103.0|C=|D=|E=|F=|G=|DESC=تشغيل أنظمة ومعدات الري 
B=16104.0|C=|D=|E=|F=|G=|DESC=تركيب البيوت البلاستيكية 
B=16105.0|C=|D=|E=|F=|G=|DESC=أنشطة شركات توثيق المنتجات الزراعية العضوية 
B=16106.0|C=|D=|E=|F=|G=|DESC=استصلاح الأراضي الزراعية
